GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prolobjectlink-jpp,org.prolobjectlink.db.prolog,PrologTreeMap.KeySet,17,0,0,0,3,0,3,0,3,0
prolobjectlink-jpp,org.prolobjectlink.db.prolog,PrologHashMap.ValueCollection,17,0,0,0,3,0,3,0,3,0
prolobjectlink-jpp,org.prolobjectlink.db.prolog,PrologDate,25,0,0,0,6,0,4,0,4,0
prolobjectlink-jpp,org.prolobjectlink.db.prolog,PrologTreeSet,607,0,110,0,163,0,72,0,17,0
prolobjectlink-jpp,org.prolobjectlink.db.prolog,PrologTreeMap.EntrySet,17,0,0,0,3,0,3,0,3,0
prolobjectlink-jpp,org.prolobjectlink.db.prolog,PrologLocale,187,0,30,0,49,0,27,0,12,0
prolobjectlink-jpp,org.prolobjectlink.db.prolog,PrologVector,11,0,0,0,6,0,3,0,3,0
prolobjectlink-jpp,org.prolobjectlink.db.prolog,PrologHashMap.KeySetIterator,18,0,2,0,4,0,3,0,2,0
prolobjectlink-jpp,org.prolobjectlink.db.prolog,PrologHashSet,258,0,32,0,62,0,27,0,11,0
prolobjectlink-jpp,org.prolobjectlink.db.prolog,AbstractProgrammer,5104,0,112,0,1005,0,80,0,24,0
prolobjectlink-jpp,org.prolobjectlink.db.prolog,PrologHashMap.EntrySet,17,0,0,0,3,0,3,0,3,0
prolobjectlink-jpp,org.prolobjectlink.db.prolog,PrologContainerFactory,77,0,0,0,9,0,8,0,8,0
prolobjectlink-jpp,org.prolobjectlink.db.prolog,PrologHashMap.KeySet,17,0,0,0,3,0,3,0,3,0
prolobjectlink-jpp,org.prolobjectlink.db.prolog,AbstractLinkedList.PrologListIterator,52,0,2,0,16,0,8,0,7,0
prolobjectlink-jpp,org.prolobjectlink.db.prolog,PrologStorage,107,0,0,0,18,0,10,0,10,0
prolobjectlink-jpp,org.prolobjectlink.db.prolog,PrologArrayList.ArrayListIterator,60,0,2,0,15,0,9,0,8,0
prolobjectlink-jpp,org.prolobjectlink.db.prolog,PrologTreeMap.KeySetIterator,19,0,2,0,4,0,3,0,2,0
prolobjectlink-jpp,org.prolobjectlink.db.prolog,AbstractLinkedList.PrologIterator,85,0,12,0,21,0,10,0,4,0
prolobjectlink-jpp,org.prolobjectlink.db.prolog,PrologRelationalCache,40,0,0,0,8,0,4,0,4,0
prolobjectlink-jpp,org.prolobjectlink.db.prolog,PrologHashSet.HashSetIterator,132,0,18,0,22,0,13,0,4,0
prolobjectlink-jpp,org.prolobjectlink.db.prolog,PrologArrayList.SubList,274,0,24,0,60,0,25,0,13,0
prolobjectlink-jpp,org.prolobjectlink.db.prolog,PrologPriorityQueue,11,0,0,0,6,0,3,0,3,0
prolobjectlink-jpp,org.prolobjectlink.db.prolog,PrologLists,58,0,0,0,14,0,13,0,13,0
prolobjectlink-jpp,org.prolobjectlink.db.prolog,PrologHashMap.HashEntry,121,0,22,0,32,0,18,0,7,0
prolobjectlink-jpp,org.prolobjectlink.db.prolog,PrologContainerQuery.DescendantComparator,77,0,18,0,18,0,11,0,2,0
prolobjectlink-jpp,org.prolobjectlink.db.prolog,AbstractSet,45,0,4,0,12,0,4,0,2,0
